,Water,Energy,Protein,Carbohydrates,Sodium,Sugar
3174,0.8690000000000001,0.05543237250554324,0.014719202898550728,0.11800000000000001,7.740337478714073e-05,0.11613226452905812
3175,0.1499,0.4434589800443459,0.04925271739130435,0.6592,0.008617575726301667,0.3182364729458918
3176,0.025,0.42017738359201773,0.05151721014492754,0.8889,0.019557252696217556,0.444188376753507
3177,0.556,0.3004434589800443,0.3068387681159421,0.0,0.0015480674957428144,
3178,0.045,0.49445676274944567,0.21003170289855078,0.5375,0.0655606584447082,
3179,0.023,0.5543237250554324,0.09510869565217393,0.624,0.021492337065896074,0.007014028056112224
3180,0.609,0.19955654101995565,0.07959692028985509,0.23370000000000002,0.011636307343000155,0.021042084168336674
3181,0.7568000000000001,0.1286031042128603,0.2489809782608696,0.0,0.0018576809948913774,0.0
3182,0.6034,0.24390243902439024,0.2958559782608696,0.0,0.001935084369678518,0.0
3183,0.687,0.11197339246119734,0.09963768115942032,0.2125,0.00025801124929046907,
3184,0.8328,0.06762749445676275,0.00803894927536232,0.1521,7.740337478714073e-05,0.08216432865731461
3185,0.7018000000000001,0.14079822616407983,0.305366847826087,0.0,0.006140667733113164,0.0
3186,0.0698,0.3991130820399113,0.2523777173913044,0.6109,0.007069508230558853,0.14829659318637275
3187,0.87,0.05321507760532151,0.11322463768115944,0.02,0.005134423860880335,0.02004008016032064
3188,0.7062999999999999,0.15853658536585366,0.2612092391304348,0.0,0.0011868517467361578,0.0
3189,0.03,0.532150776053215,0.17663043478260873,0.5710000000000001,0.004411992362867021,0.561122244488978
3190,0.0,0.9800443458980045,0.0,0.0,0.0,0.0
3191,0.8825000000000001,0.04656319290465632,0.005661231884057972,0.10650000000000001,0.0,0.07064128256513026
3192,0.81,0.08647450110864745,0.055480072463768126,0.12240000000000001,0.008204757727436916,0.020440881763527055
3193,0.1084,0.42017738359201773,0.14889039855072467,0.677,0.00015480674957428145,0.009919839679358717
3194,0.43840000000000007,0.2804878048780488,0.062273550724637694,0.399,0.012152329841581093,0.11222444889779558
3195,0.9354000000000001,0.02993348115299335,0.0,0.062000000000000006,0.000541823623509985,0.05330661322645291
3196,0.020800000000000003,0.6729490022172949,0.22690217391304351,0.21050000000000002,0.004153981113576552,0.04158316633266533
3197,0.5982999999999999,0.21951219512195122,0.3298233695652174,0.0,0.010733267970483514,0.0
3198,0.073,0.4634146341463415,0.11322463768115944,0.6819,0.03010991279219774,0.0
3199,0.039,0.42017738359201773,0.003396739130434783,0.935,0.016383714329944787,0.7949899799599198
3200,0.8837999999999999,0.052106430155210645,0.023777173913043483,0.0824,0.0011868517467361578,0.07144288577154308
3201,0.027999999999999997,0.4434589800443459,0.0803894927536232,0.828,0.011971721967077764,0.20440881763527052
3202,0.11,0.37583148558758317,0.2406023550724638,0.6325000000000001,0.00023221012436142218,0.02124248496993988
3203,0.0835,0.4113082039911308,0.09986413043478262,0.7241,0.013313380463388204,0.3091182364729459
3204,0.1962,0.4467849223946785,0.07948369565217392,0.5338,0.014293823210691987,0.18016032064128257
3205,0.01,0.656319290465632,0.0600090579710145,0.444,0.0009546416223747356,
3206,0.8658,0.05432372505543237,0.010869565217391306,0.1131,0.00015480674957428145,
3207,0.8623000000000001,0.06208425720620843,0.03272192028985508,0.0898,0.007946746478146447,0.011723446893787574
3208,0.765,0.10975609756097561,0.0407608695652174,0.163,0.007275917229991228,0.005911823647294589
3209,0.508,0.4124168514412417,0.1644021739130435,0.0,0.0014448629960266267,
3210,0.9515000000000001,0.01662971175166297,0.011662137681159422,0.032799999999999996,0.00012900562464523453,
3211,0.6156,0.23059866962305986,0.3286911231884059,0.0,0.0018576809948913774,0.0
3212,0.0,1.0,0.0,0.0,0.0,
3213,0.6009000000000001,0.25277161862527714,0.21082427536231887,0.0639,0.0031477372413437226,
3214,0.7277,0.14745011086474502,0.2668704710144928,0.0,0.0009546416223747356,
3215,0.1259,0.37028824833702884,0.09375,0.7028,0.032174002786521494,
3216,0.8038,0.0787139689578714,0.026268115942028988,0.1506,0.004773208111873678,0.024248496993987973
3217,0.013000000000000001,0.5975609756097561,0.06646286231884059,0.5924,0.0023221012436142217,0.5911823647294588
3218,0.0349,0.4113082039911308,0.2894021739130435,0.5987,0.045022963001186855,0.0
3219,0.7221,0.15188470066518847,0.2409420289855073,0.0,0.0021156922441818464,0.0
3220,0.7489,0.1629711751662971,0.04347826086956522,0.0917,0.009133598224882605,0.0438877755511022
3221,0.835,0.07649667405764966,0.017436594202898555,0.1,0.009133598224882605,0.06933867735470942
3222,0.0,0.9800443458980045,0.0,0.0,0.0,0.0
