,VitaminC
1443,0.8
1444,2.8
1445,1.7
1446,0.0
1447,0.0
1448,0.0
1449,5.2
1450,0.0
1451,17.0
1452,0.0
1453,1.9
1454,
1455,16.0
1456,0.0
1457,0.0
1458,0.0
1459,0.9
1460,0.0
1461,0.5
1462,
1463,6.0
1464,0.0
1465,0.1
1466,1.8
1467,1.8
1468,0.0
1469,4.5
1470,1.8
1471,37.0
1472,2.9
1473,8.1
1474,0.0
1475,0.0
1476,0.0
1477,90.3
1478,42.6
1479,0.0
1480,0.0
1481,0.0
1482,1.9
1483,
1484,0.9
1485,0.0
1486,0.0
1487,15.9
1488,13.7
1489,
1490,12.5
1491,0.0
1492,0.0
1493,5.5
1494,0.1
1495,0.0
1496,0.9
1497,81.0
1498,12.0
1499,0.0
1500,0.0
1501,57.3
1502,
1503,3.0
1504,11.3
1505,0.0
1506,1.0
1507,
1508,0.0
1509,28.1
1510,7.5
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.9
1516,28.3
1517,21.8
1518,9.0
1519,0.5
1520,1.7
1521,49.4
1522,1.6
1523,
1524,0.5
1525,0.0
1526,0.1
1527,0.0
1528,0.5
1529,0.0
1530,2.3
1531,0.0
1532,0.0
1533,0.0
1534,0.2
1535,4.6
1536,
1537,0.0
1538,31.5
1539,4.0
1540,1.2
1541,18.3
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,
1547,0.0
1548,0.0
1549,0.4
1550,4.8
1551,0.0
1552,6.0
1553,0.0
1554,0.0
1555,239.7
1556,1.5
1557,0.0
1558,0.0
1559,0.0
1560,
1561,0.0
1562,0.0
1563,0.0
1564,
1565,0.0
1566,6.0
1567,
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,5.3
1573,0.0
1574,42.0
1575,0.7
1576,0.0
1577,2.8
1578,52.0
1579,0.0
1580,
1581,0.0
1582,0.0
1583,0.0
1584,0.1
1585,0.0
1586,27.7
1587,0.0
1588,0.4
1589,47.3
1590,
1591,3.8
1592,0.0
1593,9.6
1594,0.0
1595,0.0
1596,2.8
1597,48.4
1598,0.0
1599,0.0
1600,0.0
1601,0.6
1602,14.3
1603,0.0
1604,13.1
1605,0.0
1606,8.7
1607,2.0
1608,0.0
1609,
1610,0.3
1611,6.0
1612,0.0
1613,0.0
1614,0.0
1615,94.2
1616,27.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,2.3
1624,1.3
1625,
1626,0.0
1627,0.0
1628,17.0
1629,0.0
1630,
1631,
1632,
1633,
1634,
1635,
1636,29.0
1637,2.2
1638,1.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,5.3
1645,25.4
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.7
1651,12.9
1652,0.0
1653,
1654,
1655,0.0
1656,1.8
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,23.4
1662,0.7
1663,2.9
1664,0.0
1665,0.8
1666,14.1
1667,0.0
1668,0.0
1669,1.0
1670,0.0
1671,27.3
1672,0.0
1673,1.4
1674,0.0
1675,0.0
1676,102.0
1677,0.0
1678,0.0
1679,1.9
1680,0.0
1681,0.2
1682,0.0
1683,0.0
1684,0.0
1685,8.7
1686,0.0
1687,6.2
1688,1.5
1689,1.6
1690,67.5
1691,12.9
1692,3.2
1693,0.0
1694,8.4
1695,0.4
